% Context
% Information about more than 4600 companies tradable on Robinhood website
% Source
% The information is scraped from Robinhood website
% Inspiration
% The dataset contains useful information about Public Companies are being traded in US Stock market. Information about company size, market cap, PE ratio, list date, etc. is provided which can provide some insights about stock market in the US.
@RELATION Stock-Information

@ATTRIBUTE simple_name STRING
@ATTRIBUTE name STRING
@ATTRIBUTE symbol STRING
@ATTRIBUTE bloomberg_unique STRING
@ATTRIBUTE margin_initial_ratio REAL
@ATTRIBUTE maintenance_ratio REAL
@ATTRIBUTE country STRING
@ATTRIBUTE day_trade_ratio REAL
@ATTRIBUTE list_date STRING
@ATTRIBUTE type STRING
@ATTRIBUTE default_collar_fraction REAL
@ATTRIBUTE open REAL
@ATTRIBUTE high REAL
@ATTRIBUTE low REAL
@ATTRIBUTE volume INTEGER
@ATTRIBUTE average_volume_2_weeks REAL
@ATTRIBUTE average_volume REAL
@ATTRIBUTE high_52_weeks REAL
@ATTRIBUTE dividend_yield REAL
@ATTRIBUTE float REAL
@ATTRIBUTE low_52_weeks REAL
@ATTRIBUTE market_cap REAL
@ATTRIBUTE pb_ratio REAL
@ATTRIBUTE pe_ratio REAL
@ATTRIBUTE shares_outstanding REAL
@ATTRIBUTE description STRING
@ATTRIBUTE ceo STRING
@ATTRIBUTE headquarters_city STRING
@ATTRIBUTE headquarters_state STRING
@ATTRIBUTE sector STRING
@ATTRIBUTE industry STRING
@ATTRIBUTE num_employees REAL
@ATTRIBUTE year_founded REAL

@DATA
'Gladstone Land','Gladstone Land Corporation Common Stock',LAND,EQ0000000010904622,0.8,0.75,US,0.25,1/29/2013,reit,0.05,14.05,14.22,14.05,36742,150978.5,150978.5,14.44,3.86023,18742504.5,11.3,286682953.0,1.05056,?,21346500.0,'Gladstone Land Corp. is an agricultural real estate investment trust, which engages in the business of owning and leasing farmland. It also includes farm-related facilities, such as cooling facilities, packinghouses, processing facilities, and various storage facilities. The company was founded by David Gladstone on June 14, 1997 and is headquartered in McLean, VA.','David J. Gladstone',McLean,Virginia,Finance,'Real Estate Investment Trusts',70.0,1997.0
'Schwab US Broad Market ETF','Schwab U.S. Broad Market ETF',SCHB,EQ0000000009245219,0.5,0.25,US,0.25,11/3/2009,etp,0.05,72.95,73.42,72.371,907184,3265702.9,3265702.9,81.04,1.87894,?,65.65,15423390000.0,3.39914,27.2832,209500000.0,'SCHB tracks a cap-weighted index of the largest 2,500 stocks in the US.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
Centene,'Centene Corporation',CNC,EQ0036491300001000,0.5,0.25,US,0.25,10/16/2003,stock,0.05,60.9,63.39,59.74,10979354,8232452.1,8232452.1,68.64,?,573541466.4,41.6246,31110492188.0,1.83334,17.6437,586769000.0,'Centene Corp. engages in the provision of programs and services to government sponsored healthcare programs. It operates through the following segments: Managed Care and Specialty Services. The Medicaid Managed Care segment provides health plan coverage to individuals through government subsidized programs through Medicaid. The Specialty Services segment offers healthcare services and products to state programs, correctional facilities, healthcare organizations, employer groups, and other commercial organizations. The company was founded in 1984 and is headquartered in St. Louis, MO.','Michael F. Neidorff','St. Louis',Missouri,'Health Services','Managed Health Care',56600.0,1984.0
'First Trust Cloud Computing ETF','First Trust Cloud Computing ETF',SKYY,EQ0000000018576086,0.5,0.25,US,0.25,7/6/2011,etp,0.05,60.37,60.48,59.6,114138,509510.7,509510.7,68.9422,0.53413,?,54.08,2347229622.0,6.47525,-176.724,38500002.0,'SKYY tracks an index of companies involved in the cloud computing industry. Stocks are weighted by sub-group: infrastructure, platform and software.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'iShares Russell 2000 ETF','iShares Russell 2000 ETF',IWM,EQ0701481500060000,0.5,0.25,US,0.25,5/26/2000,etp,0.05,150.27,150.85,148.52,18244838,37629650.6,37629650.6,170.36,1.38125,?,143.91,40255566610.0,2.11985,206.499,273850000.0,'IWM tracks a market-cap-weighted index of US small-cap stocks. The index selects stocks ranked 1,001-3,000 by market cap.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
Organogenesis,'Organogenesis Holdings Inc. Class A Common Stock',ORGO,EQ0000000053291432,1.0,1.0,US,0.25,12/2/2016,stock,0.05,3.75,3.85,3.75,11544,57515.8,57515.8,14.3,?,10686200.0,3.56,384886500.0,27.4429,?,94741742.0,'Organogenesis Holdings, Inc. is a regenerative medical company. It focuses on the development, manufacture and commercialization of product solutions for the advanced wound care, surgical, and sports medicine markets. The company was founded in 1985 and is headquartered in Canton, MA.','Gary S. Gillheeney, Sr., MBA',Canton,Massachusetts,Finance,'Financial Conglomerates',700.0,1985.0
'First Trust Dow Jones Internet Index Fund','First Trust Dow Jones Internet Index Fund ETF',FDN,EQ0000000002527370,0.5,0.25,US,0.25,6/23/2006,etp,0.05,139.41,139.87,137.5988,247678,620621.6,620621.6,155.84,0.4181,?,127.5425,7799180482.0,6.00415,62.5859,55300002.0,'FDN tracks a market-cap-weighted index of the largest and most liquid U.S. Internet companies.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'Vanguard Health Care ETF','Vanguard Health Care ETF',VHT,EQ0000000000918272,0.5,0.25,US,0.25,1/30/2004,etp,0.05,184.54,185.94,183.1757,177354,453135.6,453135.6,197.804,1.97587,?,159.0,9530874311.0,4.55886,37.4549,52024423.1,'VHT tracks the MSCI U.S. Investable Market Health Care 25/50 Index, which includes health care stocks pulled from the top 98 of the total US stock market capitalization.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'Energy Select Sector SPDR ETF','Energy Select Sector SPDR Fund',XLE,EQ0038317700001000,0.5,0.25,US,0.25,12/22/1998,etp,0.05,46.59,46.74,45.67,13980998,39561362.8,39561362.8,68.81,4.76406,?,43.515,9065793141.0,1.3655,41.8683,192324200.0,'XLE tracks a market-cap-weighted index of US energy companies in the SP 500.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'Utilities Select Sector SPDR Fund','Utilities Select Sector SPDR Fund',XLU,EQ0038318200001000,0.5,0.25,US,0.25,12/22/1998,etp,0.05,65.875,67.445,65.86,15117304,36646893.1,36646893.1,71.1,2.89943,?,56.66,12669004518.0,2.48587,25.6656,192474160.0,'XLU tracks a market-cap-weighted index of US utilities stocks drawn exclusively from the SP 500.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'Wheeler Real Estate Investment Trust','Wheeler Real Estate Investment Trust, Inc. Common Stock',WHLR,EQ0000000020470628,1.0,1.0,US,0.25,11/19/2012,reit,0.05,1.52,1.55,1.52,2894,21042.6,21042.6,2.74,?,7265711.164,1.01,14444060.0,-0.8036,?,9694000.0,'Wheeler Real Estate Investment Trust, Inc. operates as a real estate investment trust, which engages in the acquisition, finance, development, lease, ownership and management of income producing, strip centers, neighborhood, grocery-anchored, community and free-standing retail properties. The company was founded on June 23, 2011 and is headquartered in Virginia Beach, VA.','David Kelly','Virginia Beach',Virginia,Finance,'Real Estate Investment Trusts',47.0,2011.0
'Global Net Lease','Global Net Lease, Inc.',GNL,EQ0000000029927234,0.5,0.25,US,0.25,6/2/2015,reit,0.05,19.31,19.66,19.31,165221,764542.9,764542.9,21.71,11.2342,89297258.13,17.63,1650506470.0,0.999181,48.3304,89458300.0,'Global Net Lease, Inc. operates as a real estate investment trust. It engages in the acquisition and management of a diversified global portfolio of commercial properties, with an emphasis on sale-leaseback transactions involving single tenant, mission critical income producing net-leased assets across U.S., Western and Northern Europe. The company was founded on July 13, 2011 and is headquartered in New York, NY.','James Larry Nelson','New York','New York',Finance,'Real Estate Investment Trusts',1.0,2011.0
'ProShares VIX Short-Term Futures ETF','ProShares VIX Short-Term Futures ETF',VIXY,EQ0000000016448834,1.0,1.0,US,1.0,1/4/2011,etp,0.05,19.21,19.9536,18.84,5610259,13183697.0,13183697.0,28.455,?,?,10.8,275609590.4,?,?,15101320.0,'VIXY tracks an index with exposure to futures contracts on the CBOE Volatility Index with average 1-month maturity. Exposure resets daily.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'iShares Core SP Total US Stock Market ETF','iShares Core SP Total U.S. Stock Market ETF',ITOT,EQ0000000000917772,0.5,0.25,US,0.25,1/23/2004,etp,0.05,69.01,69.3733,68.37,754471,3911933.8,3911933.8,76.57,1.84712,?,62.14,22966574800.0,3.38723,28.0241,344500000.0,'ITOT tracks a market cap-weighted index of all common equities listed on the NYSE and the NASDAQ.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'Compass Diversified Holdings','Compass Diversified Holdings Shares of Beneficial Interest',CODI,EQ0000000002167608,0.5,0.25,US,0.25,5/11/2006,mlp,0.05,19.0086,19.0624,18.29,170084,574979.3,574979.3,26.37,7.69231,49389706.4,15.5,1097967041.0,1.38195,?,59900000.0,'Compass Diversified Holdings engages in managing a group of small and middle-market businesses headquartered in North America. It operates through the following segments: Advanced Circuits, Liberty Safe, Ergobaby, Arnold, Clean Earth, Sterno, Manitoba Harvest, 5.11, and Crosman. The 5.11 segment is involved in the design and marketing of purpose-built tactical apparel and gear serving a wide range of global customers. The Advanced Circuits segment manufacture of quick-turn, small-run and production rigid printed circuit boards. Arnold Magnetic Technologies segment manufactures engineered magnetic solutions for a wide range of specialty applications and end-markets. The Clean Earth segment provides environmental services for a variety of contaminated materials including soils, dredged material, hazardous waste and drill cuttings. The Crosman segment engages in the design, manufacture, and marketing of airguns, archery products, optics and related accessories. The Liberty Safe segment produces premium home and gun safes. The Manitoba Harvest segment refers to the manufacture and marketing of branded, hemp-based food products. The Sterno Products segment pertians to the manufacture and marketing of portable food warming fuels and creative ambience solutions for the hospitality and consumer markets. The company was founded on November 18, 2005 and is headquartered in Westport, CT.','Elias J. Sabo',Westport,Connecticut,Finance,'Investment Managers',4890.0,2005.0
Volvo,'Volvo AB American Depositary Receipts - Unsponsored (Sweden)',VLVLY,EQ0000000047310230,1.0,1.0,SE,1.0,1/19/2016,adr,0.05,15.645,15.8,15.57,42529,61882.5,61882.5,18.05,2.7457,1386810000.0,12.879,32671821420.0,2.31297,8.33832,1577232273.0,'Volvo AB engages in the design, manufacture, and market of commercial vehicles. It operates through the following segments: Trucks, Construction Equipment, Buses, Volvo Penta, Group Functions and Other, Industrial Operations, and Financial Services. The Trucks segment includes the production, development, and logistics for powertrain and parts. The Volvo Penta segment markets marine and industrial engines. The Group Functions and Other segment encompasses Volvo Group IT and Volvo Group Real Estate. The company was founded by Assar-Thorvald Nathanael-Gabrielsson and Erik Gustaf Larson in 1915 and is headquartered in Gteborg, Sweden. VLVLY is listed on the Pink Current market tier. OTC market data is provided by OTC Markets Group, Inc (otcmarkets.com).','Martin Lundstedt',Gothenburg,'Vastra Gotaland','Producer Manufacturing','Trucks/Construction/Farm Machinery',105175.0,1915.0
'Brookfield Property','Brookfield Property Partners L.P. Limited Partnership Units',BPY,EQ0000000029204146,0.5,0.25,BM,0.25,4/15/2013,lp,0.05,17.14,17.315,17.06,912259,3066032.0,3066032.0,21.22,7.77778,441377655.9,15.78,15419524902.0,0.628956,9.03471,505402000.0,'Brookfield Property Partners LP is a global commercial property company, which owns, operates, and invests in office, retail, multifamily, and industrial assets. It operates through the following segments: Core Office, Core Retail, LP Investments, and Corporate. The Core Office segment consists of office properties in New York, London, Los Angeles, Washington, D.C., Sydney, Toronto, and Berlin. The Core Retail segment deals with interests in regional malls and urban retail properties. The LP Investments segment comprises of investments in Brookfield-sponsored real estate funds. The Corporate segment deals with other activities. The company was founded on January 3, 2013 and is headquartered in Hamilton, Bermuda.','Brian William Kingston',Hamilton,Hamilton,Finance,'Real Estate Development',22000.0,2013.0
'Cornerstone Total Return Fund','Cornerstone Total Return Fund, Inc',CRF,EQ0011920000060000,0.56,0.45,US,0.25,1/2/1990,cef,0.05,10.24,10.24,9.9949,399414,1245680.9,1245680.9,12.25,21.2335,38473200.0,8.91,360294480.0,0.9449,3.67,38493000.0,'Cornerstone Total Return Fund, Inc. operates as a closed-end investment fund. It engages in seeking capital appreciation with current income. The company was founded on March 16, 1973 and is headquartered in New York, NY.',?,Cincinnati,Ohio,Miscellaneous,'Investment Trusts/Mutual Funds',?,1973.0
'Sallie Mae','SLM Corporation Common Stock',SLM,EQ0082372200001000,0.5,0.25,US,0.25,1/2/1990,stock,0.05,10.6,10.74,10.21,1813371,4804204.0,4804204.0,12.32,1.09489,419651623.6,7.76,4337330000.0,1.585,8.40749,421100000.0,'SLM Corp. engages in the origination, servicing, and administration of education loans. Its services include private education loans, banking, college savings, and insurance services. The company was founded in 1972 and is headquartered in Newark, DE.','Raymond J. Quinlan, PhD, MBA',Newark,Delaware,Finance,'Finance Or Rental Or Leasing',1900.0,1972.0
'KKR  Co.','KKR  Co. Inc. Class A Common Stock',KKR,EQ0021773200001000,0.5,0.25,US,0.25,7/15/2010,stock,0.05,29.56,29.64,28.65,1280291,4122606.7,4122606.7,34.14,1.66722,539229463.2,22.01,24321134766.0,1.62661,8.48253,560008000.0,'KKR  Co., Inc. engages in the provision of investment and private equity asset management services. It manages investments across multiple asset classes includes private equity, energy, infrastructure, real estate, credit, and hedge funds. The firm operates business through four business lines: Private Markets, Public Markets, Capital Markets, and Principal Activities. The Private Markets line manages and sponsors a group of private equity funds that invest capital for long-term appreciation, either through controlling ownership of a company or strategic minority positions. The Public Markets line operates combined credit and hedge funds platforms. The Capital Markets line comprises of global capital markets business. It implements traditional and non-traditional capital solutions for investments or companies seeking financing. The Principal Activities line manages the firm\'s assets and deploys capital to support and grow the businesses. The company was founded by Henry R. Kravis and George R. Roberts in 1976 and is headquartered in New York, NY.','Henry R. Kravis','New York','New York',Finance,'Investment Managers',1384.0,1976.0
Ventas,'Ventas, Inc.',VTR,EQ0010159500001000,0.5,0.25,US,0.25,5/5/1997,reit,0.05,52.89,53.93,52.6379,1604287,5059329.7,5059329.7,75.4,6.05424,371272362.1,51.44,20048681641.0,1.8687,44.7254,372860000.0,'Ventas, Inc. engages in the acquisition and ownership of seniors housing and healthcare properties. The company invests in seniors housing and healthcare properties through acquisitions and leases its properties to unaffiliated tenants or operate them through independent third-party managers. It operates through the following segments: Triple-Net Leased Properties, Senior Living Operations, and Office Operations. The company was founded in 1983 and is headquartered in Chicago, IL.','Debra A. Cafaro',Chicago,Illinois,Finance,'Real Estate Investment Trusts',516.0,1983.0
Weyerhaeuser,'Weyerhaeuser Company',WY,EQ0010165200001000,0.5,0.25,US,0.25,1/2/1990,reit,0.05,27.44,27.56,27.02,1493001,5345859.4,5345859.4,31.58,4.95627,742728522.4,22.35,19368582031.0,2.50104,?,745519000.0,'Weyerhaeuser Co. engages in the manufacture, distribution and sale of forest products. It operates through the following business segments: Timberlands; Real Estate, Energy and Natural Resources (Real Estate  ENR); and Wood Products. The Timberlands segment manages private commercial forestland worldwide, which engages in growing and harvesting trees for lumber, building, pulp, paper and other wood products. The Real Estate  ENR segment deliver premiums to timber value by identifying and monetizing higher and better use lands and capturing the full value of surface and subsurface assets. The Wood Products segment delivers lumber, structural panels, engineered wood products and complementary building products for residential, multi-family, industrial and light commercial applications. The company was founded by Frederick Weyerhaeuser on January 18, 1900 and is headquartered in Seattle, WA.','Devin W. Stockfish',Seattle,Washington,Finance,'Real Estate Investment Trusts',9400.0,1900.0
Daimler,'Daimler AG American Depositary Receipts - Unsponsored (Germany)',DMLRY,EQ0000000054188931,1.0,1.0,DE,1.0,1/6/2017,adr,0.05,10.33,10.48,10.28,166876,380396.8,380396.8,16.7,7.4753,3519320000.0,9.97,44115615217.0,0.660951,9.65611,4279360000.0,'Daimler AG engages in the production and distribution of cars, trucks, and vans. It operates through the following segments: Mercedes-Benz Cars, Daimler Trucks, Mercedes-Benz Vans, Daimler Buses, and Daimler Financial Services. The Mercedes-Benz Cars segment sells passenger cars and off-road vehicles under the Mercedes-Benz brand and small cars under the smart brand. The Daimler Trucks distributes its trucks under the brand names Mercedes-Benz, Freightliner, FUSO, Western Star, and BharatBenz. The Mercedes-Benz Vans segment manufactures commercial vans such as Sprinter large van, the Vito mid-size van, and the Mecedez-Benz Citan urban delivery van. The Daimler Buses segment trades city and intercity buses, coaches, and bus chassis under the Mercedes-Benz and Setra brands. The Daimler Financial Services segment consists of tailored financing and leasing packages for customers and dealers. It also provides services such as insurance, fleet management, investment products, and credit cards. The company was founded by Gottlieb Daimler and Carl Benz in 1926 and is headquartered in Stuttgart, Germany. DMLRY is listed on the Pink Current market tier. OTC market data is provided by OTC Markets Group, Inc (otcmarkets.com).','Ola Kaellenius',Stuttgart,'Baden Wuerttemberg','Consumer Durables','Motor Vehicles',298683.0,1998.0
'New Senior Investment Group','NEW SENIOR INVESTMENT GROUP INC.',SNR,EQ0000000035873502,0.68,0.6,US,0.25,8/21/1995,reit,0.05,6.277,6.47,6.25,312100,594257.2,594257.2,8.35,8.56672,81594199.68,4.72,503081604.0,2.13031,?,82880000.0,'New Senior Investment Group, Inc. engages in investing in private pay senior housing properties. It operates through Managed IL Properties, Managed AL/MC Properties and Triple Net Lease Properties. The Managed IL Properties and Managed AL/MC Properties invest in senior housing properties throughout the United States and engage property managers to manage those senior housing properties. The Triple Net Lease Properties invests in senior housing and healthcare properties throughout the United States and lease those properties to healthcare operating companies under triple net leases that obligate the tenants to pay all property-related expenses, including maintenance, utilities, taxes, insurance, repairs, capital improvements and the payroll expense of property-level employees. The company was founded on May 17, 2012 and is headquartered in New York, NY.','Susan Givens','New York','New York',Finance,'Real Estate Investment Trusts',19.0,2012.0
'Global X SuperDividend REIT ETF','Global X Funds Global X SuperDividend REIT ETF',SRET,EQ0000000041695434,0.5,0.25,US,0.25,3/17/2015,etp,0.05,14.29,14.38,14.19,292954,886568.9,886568.9,15.77,8.31411,?,13.5,512538797.5,1.14181,-190.01,35692116.82,'SRET tracks an equal-weighted index of global REITs, choosing 30 high-yield, low-volatility companies.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'Chatham Lodging Trust','CHATHAM LODGING TRUST',CLDT,EQ0000000009276903,0.56,0.45,US,0.25,4/16/2010,reit,0.05,13.97,14.13,13.6,105279,472029.1,472029.1,20.66,9.08465,45855727.01,13.39,654566650.0,0.8944,37.1231,46956000.0,'Chatham Lodging Trust engages in the acquisition and investment in hotel properties. It focuses on the upscale extended-stay and premium branded select-service hotels. The firm\'s management evaluates the company\'s hotels as a single industry segment because all of the hotels have similar economic characteristics and provide similar services to similar types of customers. The company was founded in 2009 and is headquartered in West Palm Beach, FL.','Jeffrey H. Fisher','West Palm Beach',Florida,Finance,'Real Estate Investment Trusts',39.0,2009.0
'PDL BioPharma','PDL BioPharma, Inc. Common Stock',PDLI,EQ0010603600001000,0.68,0.6,US,0.25,1/29/1992,stock,0.05,3.53,3.55,3.345,1148561,1872479.6,1872479.6,3.89,?,109321404.1,2.06,388229004.0,0.654836,?,114185000.0,'PDL BioPharma, Inc. produces and markets biopharmaceutical products. It operates through the following segments: Income Generating Assets, Pharmaceutical, and Medical Devices. The Income Generating Assets segment consists of revenues derived from notes and other long-term receivables, royalty rights-at fair value, equity investments, and royalties from issued patents in the United States and elsewhere. The Pharmaceutical segment covers revenues from branded prescription medicine products being sold under the name Tekturna and Tekturna HCT in the United States, and Rasilez and Rasilez HCT for the rest of the world. The Medical Devices segment handles revenues from the LENSAR Laser System sales. The company was founded by Cary L. Queen and Laurence Jay Korn in 1986 and is headquartered in Incline Village, NV.','Dominique Monnet','Incline Village',Nevada,'Health Technology',Biotechnology,105.0,1986.0
'Schwab US REIT ETF','Schwab U.S. REIT ETF',SCHH,EQ0000000016450370,0.5,0.25,US,0.25,1/13/2011,etp,0.05,44.6,44.962,44.39,401817,1278447.5,1278447.5,48.62,2.99772,?,41.0424,5937475000.0,2.49843,32.7471,135250000.0,'SCHH tracks a market-cap-weighted index of real estate investment trusts, excluding mortgage REITs and firms involved in real estate finance.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'PowerShares Preferred Portfolio','Invesco Preferred ETF',PGX,EQ0000000005094695,0.5,0.25,US,0.25,1/31/2008,etp,0.05,14.8224,14.87,14.7701,2258979,6440507.4,6440507.4,15.28,5.34983,?,14.34,6001264000.0,?,?,415600000.0,'PGX tracks an index of fixed rate US dollar-denominated preferred securities.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'Vanguard SP 500 Value ETF','Vanguard SP 500 Value ETF',VOOV,EQ0000000011209856,0.5,0.25,US,0.25,9/9/2010,etp,0.05,114.83,115.26,113.81,68876,136126.8,136126.8,127.4261,2.28536,?,104.65,1164367750.0,2.29583,21.0658,10075000.0,'VOOV tracks an index of primarily large-cap US stocks. The index uses three factors to select value stocks from the 500 stocks chosen by the SP Committee.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
'ETRACS Monthly Pay 2xLeveraged Closed-End Fund ETN','ETRACS Monthly Pay 2xLeveraged Closed-End Fund ETN',CEFL,EQ0000000033032900,0.6,0.5,SZ,0.5,12/11/2013,etp,0.05,13.05,13.21,12.95,50213,253624.1,253624.1,14.85,16.5701,?,11.71,128665460.0,?,?,10150000.0,'CEFL provides 2x the monthly return of an index of US-listed closed-end funds, weighted by yield, discount to NAV and trading volume. The CEFs can cover any asset class or strategy.',?,?,?,Finance,'Investment Banks Or Brokers',?,?
'Uniti Group','Uniti Group Inc. Common Stock',UNIT,EQ0000000021400853,0.56,0.45,US,0.25,4/20/2015,reit,0.05,10.67,10.81,10.16,1138889,4207399.1,4207399.1,12.79,8.51888,175273113.7,5.24,1886373779.0,-1.3134,61.5614,193276000.0,'Uniti Group, Inc. is a real estate investment trust company, which is engaged in the acquisition and construction of mission infrastructure in the communications industry. It operates through the following business segments: Leasing, Fiber Infrastructure, Towers, Consumer CLEC, and Corporate. The Leasing segment represents the real estate investment trust operations of the company and includes the results from leasing business, Uniti leasing, which engages in the acquisition of mission-critical communications assets and leasing them to anchor customers on either and exclusive or shared-tenant basis. The Fiber Infrastructure segment refers to the operations of the fiber business of the company, Uniti Fiber, which provides infrastructure solutions, including cell site backhaul and dark fiber, to the telecommunications industry. The Towers segment encompasses Uniti Towers, which acquires and construct tower-related real estate in the United States and Latin America. The Consumer CLEC segment is the operations of Talk America, which provides local telephone, high-speed internet and long distance services to customers in the eastern and central United States. The Corporate segment is consist of corporate and back office functions of the company. The company was founded in February 2014 and is headquartered in Little Rock, AR.','Kenneth A. Gunderman','Little Rock',Arkansas,Finance,'Real Estate Investment Trusts',798.0,2014.0
'Regions Financial','Regions Financial Corp.',RF,EQ0000000001199024,0.5,0.25,US,0.25,3/26/1990,stock,0.05,14.285,14.41,14.05,8246408,17428452.5,17428452.5,17.54,4.27292,954163281.7,13.165,12943805664.0,0.926902,9.6444,957382000.0,'Regions Financial Corp. operates as a bank holding company. It provides traditional commercial, retail and mortgage banking services, as well as other financial services in the fields of investment banking, asset management, trust, mutual funds, securities brokerage, insurance and other specialty financing. The company operates through the following segments: Corporate Bank, Consumer Bank, and Wealth Management. The Corporate Bank segment represents the company\'s commercial banking functions including commercial and industrial, commercial real estate and investor real estate lending. The Consumer Bank segment holds the company\'s branch network, including consumer banking products and services related to residential first mortgages, home equity lines and loans, small business loans, indirect loans, consumer credit cards and other consumer loans. The Wealth Management segment offers individuals, businesses, governmental institutions and non-profit entities a range of solutions to help protect grow and transfer wealth. Regions Financial was founded in 1971 and is headquartered in Birmingham, AL.','John M. Turner',Birmingham,Alabama,Finance,'Major Banks',19564.0,1970.0
'Roundhill BITKRAFT Esports  Digital Entertainment','Roundhill BITKRAFT Esports  Digital Entertainment ETF',NERD,EQ0000000075606820,1.0,1.0,US,0.25,6/4/2019,etp,0.05,15.68,15.75,15.6568,3366,38274.7,38274.7,16.785,0.32253,?,14.282,11123457.5,?,?,725000.0,'NERD tracks a tier-weighted index of global companies that are actively involved in the esports and other digital entertainment industries.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
?,'Schwab 1000 Index ETF',SCHK,EQ0000000059868409,0.5,0.25,US,0.25,10/11/2017,etp,0.05,30.15,30.24,29.845,130366,402562.6,402562.6,33.35,1.89842,?,26.85,953878500.0,3.54362,25.8356,31450000.0,'SCHK tracks a proprietary market-cap-weighted index that includes 1000 of the largest US-listed stocks.',?,?,?,Miscellaneous,'Investment Trusts Or Mutual Funds',?,?
CoreCivic,'CoreCivic, Inc.',CXW,EQ0022533500001000,0.5,0.25,US,0.25,7/15/1997,reit,0.05,16.05,16.37,15.72,588997,1346615.2,1346615.2,24.38,10.9453,117487965.8,14.52,1763811768.0,1.38513,10.1445,119096000.0,'CoreCivic, Inc. operates as a government solutions company, which engages in the development and management of prisons and other correctional facilities. It operates through the following segments: CoreCivic Safety, CoreCivic Community, and CoreCivic Properties segments. The CoreCivic Safety segment consists of correctional and detention facilities. It provides transportation services to government agencies and TransCoR. The CoreCivic Community segment offers residential reentry centers and gives electronic monitoring case management services. The CoreCivic Properties segment comprises of real estate properties owned by the company that are leased to government agencies. The company was founded by Thomas W. Beasley, T. Don Hutto, and Robert Crants on January 28, 1983 and is headquartered in Brentwood, TN.','Damon T. Hininger',Brentwood,Tennessee,Finance,'Real Estate Investment Trusts',14075.0,1983.0
'UP Fintech Holding','UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares',TIGR,EQ0000000072399612,1.0,1.0,CN,0.25,3/20/2019,adr,0.05,3.68,3.68,3.52,171858,475679.3,475679.3,23.89,?,?,3.25,478363953.0,2.44361,?,112229400.0,'UP Fintech Holding Ltd. operates as brokerage firm, which focuses on global Chinese investors. The company was founded by Tianhua Wu in January 2018and is headquartered in Chaoyang District, China.','Tianhua Wu','Chaoyang District',Beijing,Finance,'Investment Banks/Brokers',446.0,2018.0
'Huntington Bank','Huntington Bancshares Incorporated Common Stock',HBAN,EQ0010432300001000,0.5,0.25,US,0.25,1/3/1994,stock,0.05,12.69,12.82,12.385,9675438,15850227.1,15850227.1,15.63,4.63679,1006959720.0,11.91,12505510742.0,1.24611,10.2212,1019190000.0,'Huntington Bancshares, Inc. operates as a bank holding company. It provides commercial and consumer banking services, mortgage banking services, automobile financing, recreational vehicle and marine financing, equipment leasing, investment management, trust services, brokerage services, insurance programs, and other financial products and services. The company operates through the following segments: Consumer  Business Banking, Commercial Banking, Commercial Real Estate  Vehicle Finance, Regional Banking  The Huntington Private Client Group, and Home Lending. The Consumer  Business Banking segment provides financial products and services to consumer and small business customers including but not limited to checking accounts, savings accounts, money market accounts, certificates of deposit, investments, consumer loans, credit cards and small business loans. The Commercial Banking segment provides products and services to the middle market, large corporate, and government public sector customers located primarily within its geographic footprint. The segment is divided into following business units: Middle Market, Large Corporate, Specialty Banking, Asset Finance, Capital Markets, Treasury Management, and Insurance. The Commercial Real Estate  Vehicle Finance segment provides products and services include providing financing for land, buildings, and other commercial real estate owned or constructed by real estate developers, automobile dealerships, or other customers with real estate project financing needs, and financing for the purchase of automobiles, light-duty trucks, recreational vehicles and marine craft at franchised dealerships, financing the acquisition of new and used vehicle inventory of franchised automotive dealerships. The Regional Banking and The Huntington Private Client Group segment consists of private banking, wealth  investment management, and retirement plan services. The Home Lending segment originates and services consumer loans and mortgages for customers who are located in primary banking markets. Huntington Bancshares was founded in 1966 and is headquartered in Columbus, OH.','Stephen D. Steinour',Columbus,Ohio,Finance,'Regional Banks',15664.0,1966.0
